Commands,,,Tx,Rx,Tx,Rx,Tx,Rx,Tx,Rx
Read ECU Software ID,,7CC;7CD,03 22 F1 94 00 00 00 00 ,10 13 62 F1 94 xx xx xx,30 08 0A 00 00 00 00 00,21 xx xx xx xx xx xx xx |22 xx xx xx xx xx xx xx,,,,
Read Internal Software Version,,7CC;7CD,03 22 F1 95 00 00 00 00 ,10 13 62 F1 95 41 00 00 ,30 08 0A 00 00 00 00 00,21 00 00 00 00 00 00 00 |22 xx xx xx xx xx xx xx,,,,
Read Bootloader ID,,7CC;7CD,03 22 F1 F0 00 00 00 00,10 13 62 F1 F0 00 00 00,30 08 0A 00 00 00 00 00,21 00 00 00 00 00 00 00 |22 xx xx xx xx xx xx xx,,,,
Read Bootloader Software Version,,7CC;7CD,03 22 F1 F1 00 00 00 00 ,10 13 62 F1 F1 xx xx xx ,30 08 0A 00 00 00 00 00,21 xx xx xx xx xx 00 00 |22 00 00 00 00 00 00 xx ,,,,
Read Calibration Release 0,,7CC;7CD,03 22 F1 F2 00 00 00 00 ,10 08 62 F1 F2 00 00 52,30 08 0A 00 00 00 00 00,21 xx xx xx xx xx xx xx,,,,
Read Calibration Release 1,,7CC;7CD,03 22 F1 F3 00 00 00 00 ,10 08 62 F1 F3 00 00 26,30 08 0A 00 00 00 00 00,21 xx xx xx xx xx xx xx,,,,
Read Calibration Release 2,,7CC;7CD,03 22 F1 F4 00 00 00 00 ,10 08 62 F1 F4 00 00 26,30 08 0A 00 00 00 00 00,21 xx xx xx xx xx xx xx,,,,
Read Motor Angle 0,,7CC;7CD,03 22 F2 30 00 00 00 00,xx 62 F2 30 xx xx xx xx,,,,,,
Read Motor Angle 1 ,,7CC;7CD,03 22 F2 31 00 00 00 00,xx 62 F2 31 xx xx xx xx,,,,,,
Set Motor Torque Command ,,7CC;7CD,10 08 2F FD 40 03 00 00 ,30 08 0A 00 00 00 00 00,21 00 00 00 00 00 00 00 ,10 xx xx xx xx xx 00 00,30 00 00 00 00 00 00 00,21 00 00 xx xx xx xx xx,,
Stop Motor Torque Command,,7CC;7CD,10 08 2F FD 40 03 00 00 ,30 08 0A 00 00 00 00 00,21 00 00 00 00 00 00 00 ,10 08 6F FD 40 03 00 00,30 00 00 00 00 00 00 00,21 00 00 xx xx xx xx xx,,
Read NTCs,,7CC;7CD,03 22 FD 60 00 00 00 00 ,10 67 62 FD 60 00 xx 00 ,30 00 0A 00 00 00 00 00,21 xx xx xx xx xx xx xx |22 00 00 xx 00 00 00 00 |23 xx 00 00 00 00 xx 00 |24 00 00 00 xx 00 00 00 |25 00 xx 00 00 00 00 xx |26 00 00 00 00 xx 00 00 |27 00 00 xx 00 00 00 00 |28 xx 00 00 00 00 xx 00 |29 00 00 00 xx 00 00 00 |2A 00 xx 00 00 00 00 xx |2B 00 00 00 00 xx 00 00 |2C 00 00 xx 00 00 00 00 |2D xx 00 00 00 00 xx 00 |2E 00 00 00 xx 00 00 xx,,,,
Read Serial Number,,7CC;7CD,03 22 FD 30 00 00 00 00 ,10 17 62 FD 30 xx xx xx,30 00 0A 00 00 00 00 00,21 00 00 00 00 00 00 00|22 00 00 00 00 00 00 00|23 00 00 00 00 00 00 00,,,,
Read HW Part Number,,7CC;7CD,03 22 FD 32 00 00 00 00 ,10 17 62 FD 32 32 38 33,30 00 0A 00 00 00 00 00,21 00 00 00 00 00 00 00|22 00 00 00 00 00 00 00|23 00 00 00 00 00 00 00,,,,
Read Polarity,,7CC;7CD,03 22 FD 03 00 00 00 00 ,07 62 FD 03 00 00 00 00,,,,,,
Set NVM Access Defeat,,7CC;7CD,04 31 01 FE EE 00 00 00 ,04 71 01 FE EE 00 00 00 ,,,,,,
Read Software Release,,7CC;7CD,03 22 F1 FD 00 00 00 00 ,07 62 F1 FD XX XX XX XX,,,,,,
Read Software Build Date,,7CC;7CD,03 22 F1 FF 00 00 00 00 ,07 62 F1 FF XX XX XX XX,,,,,,
Write Single Inverter Hardware value,,7CC;7CD,04 2E FE DF 01 00 00 00,03 6E FE DF 00 00 00 00,,,,,,
Write Dual Inverter Hardware value,,7CC;7CD,04 2E FE DF 02 00 00 00,03 6E FE DF 00 00 00 00,,,,,,
Read Single Inverter HW Value,,7CC;7CD,03 22 FE DF 00 00 00 00,04 62 FE DF 00 00 00 00,,,,,,
Read Dual Inverter HW Value,,7CC;7CD,03 22 FE DF 00 00 00 00,04 62 FE DF 00 00 00 00,,,,,,
Write MEC Counter FF,,7CC;7CD,04 2E FD 02 FF 00 00 00 ,03 6E FD 02 00 00 00 00,,,,,,
Write MEC Counter FE,,7CC;7CD,04 2E FD 02 FE 00 00 00 ,03 6E FD 02 00 00 00 00,,,,,,
Read BEMF,,7CC;7CD,03 22 FD C0 00 00 00 00 ,05 62 FD C0 00 00 00 00,,,,,,
